qid,doi,title,facet_sim_0,facet_sim_1,facet_sim_2,facet_sim_0_above_floor,facet_sim_1_above_floor,facet_sim_2_above_floor,facet_sims_geometric_mean,single_vector_sim,geography_hit,year,age_years,citation_count,citation_rate,sms_level,has_abstract,abstract_length,abs_rating_numeric,repec_percentile,label,label_int
q01-teacher-incentives-hard-staff,10.18235/0001820,Can Financial Incentives Help Disadvantaged Schools to Attract and Retain High-performing Teachers?: Evidence from Chile (en),0.659,0.6161,0.6709,1,1,1,0.6482,0.7518,1,2019,7,0,0,4,1,1401,0,0.5,relevant,2
q01-teacher-incentives-hard-staff,10.1086/706059,Do Educator Performance Incentives Help Students? Evidence from the Teacher Incentive Fund National Evaluation,0.6989,0.5857,0.5706,1,1,1,0.6158,0.7411,0,2019,7,14,1.75,5,1,697,4,0.996,partial,1
q01-teacher-incentives-hard-staff,10.3386/w30714,"Preferences, Inequities, and Incentives in the Substitute Teacher Labor Market",0.6703,0.6287,0.7181,1,1,1,0.6714,0.7396,0,2022,4,3,0.6,4,1,719,0,0.5,partial,1
q01-teacher-incentives-hard-staff,10.3386/w34151,Information Frictions and the Labor Market for Public School Teachers,0.5875,0.6561,0.726,1,1,1,0.6541,0.7377,0,2025,1,0,0,0,1,1225,0,0.5,partial,1
q01-teacher-incentives-hard-staff,10.1086/667757,Teacher Incentives and Student Achievement: Evidence from New York City Public Schools,0.6409,0.6088,0.6135,1,1,1,0.6209,0.7366,0,2013,13,235,16.7857,5,1,698,4,0.996,partial,1
q01-teacher-incentives-hard-staff,10.3386/w16850,Teacher Incentives and Student Achievement: Evidence from New York City Public Schools,0.6389,0.6132,0.6101,1,1,1,0.6206,0.732,0,2011,15,10,0.625,5,1,695,0,0.5,partial,1
q02-gender-violence-labor,10.1080/00220388.2023.2286890,Shifting the Balance: Examining the Impact of Local Labor Market Opportunities on Female Household Bargaining Power in India,0.6337,0.6383,0,1,1,0,0.636,0.7158,0,2023,3,4,1,0,1,934,3,0.95,relevant,2
q02-gender-violence-labor,10.1257/aer.103.3.274,Sexual Violence against Women and Labor Market Outcomes,0.6574,0.6591,0,1,1,0,0.6582,0.7752,0,2013,13,48,3.4286,2,1,657,5,1,relevant,2
q02-gender-violence-labor,10.1080/00220388.2025.2521490,"Culture, Kinship and Women’s Labour Opportunities: Evidence from Malawi and Indonesia*",0.5858,0.622,0,1,1,0,0.6037,0.674,0,2025,1,0,0,1,1,1193,3,0.95,irrelevant,0
q02-gender-violence-labor,10.1093/qje/qjad045,Violence against Women at Work,0.6965,0.5976,0,1,1,0,0.6452,0.772,0,2023,3,54,13.5,2,1,1196,5,0.999,relevant,2
q02-gender-violence-labor,10.3386/w34886,Shielding Women from Violence: The Effects of Violence Prevention and Monitoring Centers on Intimate Partner Violence in Türkiye,0.7138,0.5411,0,1,1,0,0.6215,0.6723,0,2026,0,0,0,1,1,1580,0,0.5,irrelevant,0
q02-gender-violence-labor,10.2139/ssrn.6504456,Shielding Women from Violence: The Effects of Violence Prevention and Monitoring Centers on Intimate Partner Violence in Türkiye,0.7148,0.5089,0,1,1,0,0.6031,0.6356,0,2026,0,0,0,4,1,1615,0,0.689,irrelevant,0
q02-gender-violence-labor,10.1016/j.jdeveco.2026.103718,Labor market consequences of homicides: A gender perspective from Mexico,0.6454,0.6603,0,1,1,0,0.6528,0.7718,1,2026,0,0,0,3,1,1299,3,0.991,relevant,2
q02-gender-violence-labor,10.1016/j.worlddev.2022.106166,The impact of intimate partner violence on women’s labour market outcomes,0.6591,0.6382,0,1,1,0,0.6486,0.7696,0,2022,4,21,4.2,4,1,733,3,0.977,relevant,2
q02-gender-violence-labor,10.2139/ssrn.6290399,Shielding Women from Violence: The Effects of Violence Prevention and Monitoring Centers on Intimate Partner Violence in Türkiye,0.7148,0.5089,0,1,1,0,0.6031,0.6356,0,2026,0,0,0,4,1,1894,0,0.689,irrelevant,0
q02-gender-violence-labor,10.3368/jhr.0421-11603r4,Does the Gender Wage Gap Influence Intimate Partner Violence in Brazil?,0.6976,0.5927,0,1,1,0,0.643,0.7662,1,2023,3,7,1.75,3,1,831,3,0.99,partial,1
q02-gender-violence-labor,10.1086/702770,Contributors,0.562,0.5557,0,1,1,0,0.5589,0.5404,0,2018,8,0,0,0,1,3689,5,0.5,irrelevant,0
q02-gender-violence-labor,10.3386/w18994,Caution! Men Not at Work: Gender-Specific Labor Market Conditions and Child Maltreatment,0.6439,0.6325,0,1,1,0,0.6382,0.7402,0,2013,13,27,1.9286,1,1,726,0,0.5,partial,1
q02-gender-violence-labor,10.1111/padr.12584,"JodyHeymann, AletaSprague, AmyRaubEquality Within Our Lifetimes: How Laws and Policies Can Close—or Widen—Gender Gaps in Economies WorldwideUniversity of California Press, 2023, 328 p., $34.95 (or free as an e‐book)",0.6377,0.6234,0,1,1,0,0.6305,0.65,1,2023,3,0,0,2,1,11000,0,0.5,irrelevant,0
q02-gender-violence-labor,10.1353/eco.2015.a601528,Editors’ Summary,0.5066,0.5475,0,1,1,0,0.5266,0.5517,1,2015,11,0,0,2,1,4542,0,0.5,irrelevant,0
q02-gender-violence-labor,10.1016/j.worlddev.2019.104732,The impact of workplace harassment and domestic violence on work outcomes in the developing world,0.6816,0.6579,0,1,1,0,0.6696,0.7358,1,2019,7,58,7.25,1,1,1905,3,0.977,relevant,2
q02-gender-violence-labor,10.1596/0-8213-2958-8,Indigenous People and Poverty in Latin America: An Empirical Analysis. World Bank Regional and Sectoral Studies.,0.4972,0.488,0,1,1,0,0.4926,0.5063,1,1994,32,284,8.6061,2,1,13281,0,0.5,irrelevant,0
q02-gender-violence-labor,10.1016/j.jebo.2025.107130,From bargaining to balance: How unions shape gender wage outcomes,0.4912,0.5967,0,1,1,0,0.5414,0.7095,0,2025,1,1,0.5,4,1,805,0,0.973,partial,1
q02-gender-violence-labor,10.1080/00220388.2022.2069491,Public Work and Private Violence,0.7047,0.5452,0,1,1,0,0.6199,0.7339,0,2022,4,5,1,0,1,462,3,0.95,partial,1
q02-gender-violence-labor,10.1093/wber/lhz030,Intimate Partner Violence: The Influence of Job Opportunities for Men and Women,0.71,0.6181,0,1,1,0,0.6624,0.7302,0,2019,7,109,13.625,2,1,917,3,0.983,partial,1
q03-digital-health-edu-labor,10.9745/ghsp-d-18-00167,Digital Technologies for Health Workforce Development in Low- and Middle-Income Countries: A Scoping Review,0.7413,0.4982,0.5304,1,1,1,0.5808,0.7811,0,2018,8,103,11.4444,1,1,2586,0,0.5,irrelevant,0
q03-digital-health-edu-labor,10.1093/oodh/oqae033,Strengthening the evidence base on the use of digital health technologies to accelerate progress towards universal health coverage,0.7584,0.5105,0.4804,1,1,1,0.5708,0.77,0,2024,2,7,2.3333,0,1,964,0,0.5,irrelevant,0
q03-digital-health-edu-labor,10.1093/pubmed/fdy171,"Digital health, gender and health equity: invisible imperatives",0.7668,0.515,0.4997,1,1,1,0.5822,0.7686,1,2018,8,34,3.7778,0,1,1393,0,0.5,irrelevant,0
q03-digital-health-edu-labor,10.38193/ijrcms.2025.7329,DIGITAL ECONOMY TRANSFORMATION AND ITS IMPACT ON LABOR PRODUCTIVITY IN DEVELOPING COUNTRIES: EVIDENCE FROM VIETNAM’S MANUFACTURING AND SERVICE SECTORS,0.5721,0.5451,0.645,1,1,1,0.5859,0.7373,0,2025,1,0,0,3,1,1173,0,0.5,relevant,2
q03-digital-health-edu-labor,10.1787/2ce05eb6-en,Digital and innovative tools for better health and productivity at the workplace,0.7171,0.4884,0.5403,1,1,1,0.5741,0.7627,0,2024,2,2,0.6667,0,1,1192,0,0.5,partial,1
q03-digital-health-edu-labor,10.2196/35816,Digital Health Literacy: Bibliometric Analysis,0.6937,0.5032,0.4248,1,1,0,0.5908,0.7605,0,2022,4,170,34,0,1,471,0,0.5,partial,1
q03-digital-health-edu-labor,10.1111/roiw.70033,Does Adult Digital Learning Pay Off? The Impact on Labor Market Returns,0.5427,0.6098,0.6511,1,1,1,0.5995,0.7604,0,2025,1,3,1.5,0,1,707,0,0.5,relevant,2
q03-digital-health-edu-labor,10.2196/48685,"Digital Health Literacy of the Population in Germany and Its Association With Physical Health, Mental Health, Life Satisfaction, and Health Behaviors: Nationally Representative Survey Study",0.6814,0.5011,0.4448,1,1,0,0.5844,0.7559,0,2024,2,43,14.3333,0,1,267,0,0.5,partial,1
q03-digital-health-edu-labor,10.1038/s41598-024-57788-3,New evidence on the real role of digital economy in influencing public health efficiency,0.7033,0.4593,0.4902,1,1,1,0.541,0.7552,0,2024,2,23,7.6667,0,1,1536,0,0.5,partial,1
q03-digital-health-edu-labor,10.2196/jmir.7126,Developing and Evaluating Digital Interventions to Promote Behavior Change in Health and Health Care: Recommendations Resulting From an International Workshop,0.6765,0.5423,0.4642,1,1,1,0.5543,0.7529,0,2017,9,956,95.6,0,1,2939,0,0.5,irrelevant,0
q03-digital-health-edu-labor,10.1177/14614448211043189,The outcomes of gaining digital skills for young people’s lives and wellbeing: A systematic evidence review,0.6114,0.6171,0.5512,1,1,1,0.5924,0.7527,0,2021,5,217,36.1667,2,1,1064,0,0.5,relevant,2
q03-digital-health-edu-labor,10.3386/w32992,Equity and Efficiency in Technology Adoption: Evidence from Digital Health,0.7229,0.5257,0.483,1,1,1,0.5683,0.7525,0,2024,2,2,0.6667,0,1,1749,0,0.5,relevant,2
q03-digital-health-edu-labor,10.1186/s12889-025-22325-y,Does digital economy development enhance Chinese residents’ health? Impact and mechanism,0.6618,0.5198,0.5479,1,1,1,0.5734,0.7518,0,2025,1,8,4,0,1,1354,0,0.5,relevant,2
q03-digital-health-edu-labor,10.61093/hem.2024.4-06,The Role of Digital Economy in Transformation of Public Health: Modeling and Analysis,0.6979,0.5346,0.5173,1,1,1,0.5779,0.7512,0,2024,2,6,2,0,1,2171,0,0.5,irrelevant,0
q03-digital-health-edu-labor,10.37287/ijghr.v7i2.5869,Digital Support Education on Risky Adolescent Reproductive Health Behaviors: A Systematic Review,0.6798,0.6006,0.4419,1,1,0,0.639,0.7456,0,2025,1,1,0.5,5,1,1576,0,0.5,relevant,2
q03-digital-health-edu-labor,10.1016/j.socscimed.2024.116624,Does digital infrastructure improve public Health? A quasi-natural experiment based on China's Broadband policy,0.6545,0.4854,0.462,1,1,1,0.5275,0.7453,0,2024,2,43,14.3333,4,1,1050,0,0.5,relevant,2
q03-digital-health-edu-labor,10.2196/19361,Digital Health Equity and COVID-19: The Innovation Curve Cannot Reinforce the Social Gradient of Health,0.7128,0.5279,0.5121,1,1,1,0.5776,0.7443,0,2020,6,601,85.8571,0,1,1083,0,0.5,irrelevant,0
q03-digital-health-edu-labor,10.1016/j.techsoc.2023.102210,"Digitalization, income inequality, and public health: Evidence from developing countries",0.6721,0.5321,0.5444,1,1,1,0.5796,0.7434,0,2023,3,32,8,2,1,1050,0,0.5,relevant,2
q03-digital-health-edu-labor,10.1002/ajim.23517,Artificial intelligence and the work-health interface: A research agenda for a technologically transforming world of work.,0.5798,0.5136,0.619,1,1,1,0.5691,0.7421,0,2023,3,30,7.5,0,1,1589,0,0.5,partial,1
q04-minwage-informality-lac,10.1080/00220388.2024.2312833,Does the Minimum Wage Affect Wage Inequality? A Study for the Six Largest Latin American Economies,0.7139,0.6069,0.5904,1,1,1,0.6348,0.8096,1,2024,2,4,1.3333,0,1,779,3,0.95,partial,1
q04-minwage-informality-lac,10.5089/9781484393840.001,Impacts of Labor Market Institutions and Demographic Factors on Labor Markets in Latin America,0.643,0.6204,0.6829,1,1,1,0.6483,0.8016,1,2019,7,4,0.5,2,1,1494,0,0.5,partial,1
q04-minwage-informality-lac,10.1371/journal.pone.0261277,Informality in the time of COVID-19 in Latin America: Implications and policy options,0.5468,0.5302,0.7289,1,1,1,0.5956,0.793,1,2021,5,29,4.8333,0,1,1189,0,0.836,partial,1
q04-minwage-informality-lac,10.1111/rode.12326,Assessing the distributive effects of minimum wage,0.6389,0.5483,0.5681,1,1,1,0.5838,0.7918,1,2017,9,12,1.2,0,1,522,0,0.5,partial,1
q04-minwage-informality-lac,10.7866/hpe-rpe.24.1.5,Informality and Taxation: Evidence from Seven Latin American Countries,0.5416,0.6229,0.7623,1,1,1,0.6359,0.7884,1,2024,2,1,0.3333,0,1,586,0,0.5,partial,1
q04-minwage-informality-lac,10.1086/209878,The Impact of Minimum Wages in Mexico and Colombia,0.6108,0.5512,0.5391,1,1,1,0.5662,0.7837,1,1997,29,35,1.1667,2,1,574,4,0.996,partial,1
q04-minwage-informality-lac,10.1177/0019793915575703,The Consequences of Increased Enforcement of Legal Minimum Wages in a Developing Country,0.66,0.5741,0.6018,1,1,1,0.6109,0.7826,1,2015,11,66,5.5,4,1,1835,0,0.5,partial,1
q04-minwage-informality-lac,10.1080/00220388.2022.2130056,The Effect of the Minimum Wage on Poverty: Evidence from a Quasi-Experiment in Mexico,0.6552,0.5841,0.5848,1,1,1,0.6071,0.7823,1,2022,4,20,4,4,1,933,3,0.95,partial,1
q04-minwage-informality-lac,10.1002/jae.2586,Estimating the effects of the minimum wage in a developing country: A density discontinuity design approach,0.6848,0.5697,0.6255,1,1,1,0.6249,0.7818,0,2017,9,46,4.6,2,1,879,3,0.5,relevant,2
q04-minwage-informality-lac,10.1080/00220380701259947,Minimum wage effects across the private and public sectors in Brazil,0.6791,0.5432,0.5862,1,1,1,0.6002,0.7803,1,2007,19,51,2.55,0,1,678,3,0.95,partial,1
q04-minwage-informality-lac,10.1086/714114,Does an Increasing Minimum Wage Reduce Formal Sector Employment? Evidence from Brazil,0.7116,0.5438,0.6271,1,1,1,0.6237,0.7793,1,2021,5,19,3.1667,3,1,1027,3,0.962,relevant,2
q04-minwage-informality-lac,10.1016/j.labeco.2008.07.003,Minimum wage effects in a developing country,0.7104,0.5507,0.542,1,1,1,0.5963,0.7785,0,2008,18,239,12.5789,0,0,0,0,0.5,partial,1
q04-minwage-informality-lac,10.1136/bmjopen-2020-044920,Association between informal employment and mortality rate by welfare regime in Latin America and the Caribbean: an ecological study,0.5251,0.5609,0.7041,1,1,1,0.5919,0.7784,1,2021,5,11,1.8333,2,1,1673,0,0.5,irrelevant,0
q04-minwage-informality-lac,10.1016/j.worlddev.2020.105182,Can the minimum wage reduce poverty and inequality in the developing world? Evidence from Brazil,0.6969,0.5396,0.5577,1,1,1,0.5941,0.778,1,2021,5,44,7.3333,4,1,1438,0,0.5,partial,1
q04-minwage-informality-lac,10.1186/s12992-021-00792-3,"Informal employment and poor self-perceived health in Latin America and the Caribbean: a gender-based comparison between countries and welfare states in a pooled analysis of 176,786 workers",0.5017,0.5117,0.7015,1,1,1,0.5647,0.778,1,2021,5,20,3.3333,2,1,1600,0,0.5,irrelevant,0
q04-minwage-informality-lac,10.1017/elr.2024.48,"The impact of skill mismatch on unemployment, informality, and labour turnover",0.5858,0.5828,0.6805,1,1,1,0.6148,0.7776,1,2024,2,5,1.6667,0,1,786,1,0.603,irrelevant,0
q04-minwage-informality-lac,10.1080/00220388.2020.1841170,Regional Labour Informality in Colombia and a Proposal for a Differential Minimum Wage,0.6354,0.5149,0.6722,1,1,1,0.6036,0.7774,1,2020,6,28,4,3,1,1054,3,0.95,relevant,2
q04-minwage-informality-lac,10.1596/1813-9450-4888,Informality in Latin America and the Caribbean,0.4884,0.5499,0.6823,1,1,1,0.568,0.7757,1,2009,17,136,7.5556,2,1,1003,0,0.5,partial,1
q04-minwage-informality-lac,10.18235/0012394,"Andemic Informality: Assessing Labor Informality, Employment and Income Risk in the Andes",0.5444,0.562,0.7554,1,1,1,0.6137,0.7757,1,2013,13,0,0,3,1,416,0,0.5,partial,1
q04-minwage-informality-lac,10.1016/j.worlddev.2005.04.017,The effect of minimum wages on actual wages in formal and informal sectors in Costa Rica,0.6668,0.5063,0.6315,1,1,1,0.5974,0.7756,1,2005,21,102,4.6364,0,0,0,3,0.977,relevant,2
q05-cct-school-attendance-learning,10.1080/01488376.2024.2448187,Are Conditional Cash Transfer Programs the Answer to Social Inequalities in Rural Education? Insights from Morocco’s Tayssir Program,0.7219,0.6338,0.5506,1,1,1,0.6316,0.7621,0,2025,1,4,2,1,1,1491,0,0.5,relevant,2
q05-cct-school-attendance-learning,10.1007/s11524-024-00838-y,"Cash Transfers and After-School Programs: A Randomized Controlled Trial for Young Men at Risk of Violence Exposure in Wilmington, Delaware",0.7759,0.5972,0.5647,1,1,1,0.6396,0.8164,0,2024,2,2,0.6667,5,1,1388,0,0.5,partial,1
q05-cct-school-attendance-learning,10.1596/1813-9450-9989,Cash Transfers after Ebola in Guinea: Lessons Learned on Human Capital,0.6482,0.585,0.5298,1,1,1,0.5857,0.7054,0,2022,4,2,0.4,5,1,1813,0,0.451,relevant,2
q05-cct-school-attendance-learning,10.1016/j.jdeveco.2010.05.006,Does more cash in conditional cash transfer programs always lead to larger impacts on school attendance?,0.7334,0.669,0.5886,1,1,1,0.661,0.805,0,2010,16,138,8.1176,4,1,743,3,0.991,relevant,2
q05-cct-school-attendance-learning,10.18235/0011174,Demand and Supply-Side Determinants of Conditional Cash Transfer Program Effectiveness: Improving the First-Generation Programs,0.7576,0.6046,0.5978,1,1,1,0.6494,0.7381,0,2005,21,0,0,3,1,1261,0,0.5,relevant,2
q05-cct-school-attendance-learning,10.2139/ssrn.3703566,Does More Schooling Imply Improved Learning? Evidence From a Conditional Cash Transfer Programme in India,0.7025,0.6564,0.5498,1,1,1,0.6329,0.7971,0,2020,6,3,0.4286,4,1,1494,0,0.5,relevant,2
q05-cct-school-attendance-learning,10.1016/j.lana.2024.100803,Joining forces for healthier futures: a call to action for South American child health policies,0.5476,0.5792,0.5284,1,1,1,0.5513,0.5482,1,2024,2,2,0.6667,0,1,7252,0,0.5,irrelevant,0
q05-cct-school-attendance-learning,10.7916/d81c287b,"Essays on Human Capital, Labor and Development Economics",0.409,0.3559,0.3187,0,0,0,0,0.3586,1,2017,9,0,0,0,1,7587,0,0.5,partial,1
q05-cct-school-attendance-learning,10.1016/j.econedurev.2023.102406,Does more schooling imply improved learning? Evidence from the Kanyashree Prakalpa in India,0.6673,0.695,0.5914,1,1,1,0.6497,0.7937,0,2023,3,12,3,4,1,1107,2,0.95,relevant,2
q05-cct-school-attendance-learning,10.4314/gjss.v19i1.3,Relationship between cash transfer programmes and school outcomes in Africa and Latin America: A systematic review,0.7539,0.6394,0.574,1,1,1,0.6516,0.792,1,2020,6,6,0.8571,1,1,1123,0,0.5,relevant,2
q05-cct-school-attendance-learning,10.1016/j.econedurev.2022.102332,The educational impacts of cash transfers in Tanzania,0.6689,0.5595,0.5276,1,1,1,0.5823,0.7888,0,2023,3,15,3.75,5,1,869,2,0.95,relevant,2
q05-cct-school-attendance-learning,10.1086/733427,Can Conditional Cash Transfers Alter the Effectiveness of Other Human Capital Development Policies?,0.7543,0.6401,0.6191,1,1,1,0.6686,0.7873,1,2024,2,0,0,4,1,1005,3,0.962,relevant,2
q05-cct-school-attendance-learning,10.1016/j.econedurev.2017.06.002,Short-term impacts of an unconditional cash transfer program on child schooling: Experimental evidence from Malawi,0.7021,0.5573,0.5398,1,1,1,0.5955,0.7872,0,2017,9,54,5.4,5,0,0,2,0.95,relevant,2
q05-cct-school-attendance-learning,10.18235/0011660,The Effect of Cash Transfers to Schools on Voluntary Contributions,0.6993,0.6455,0.5683,1,1,1,0.6354,0.7856,0,2014,12,0,0,4,1,1016,0,0.5,partial,1
q05-cct-school-attendance-learning,10.18235/0012881,Can Conditional Cash Transfers Alter the Effectiveness of Other Human Capital Development Policies?,0.7513,0.6336,0.6196,1,1,1,0.6657,0.7834,0,2024,2,1,0.3333,4,1,941,0,0.5,relevant,2
q05-cct-school-attendance-learning,10.1371/journal.pone.0205957,The effect of cash transfer programs on educational mobility,0.7702,0.607,0.5841,1,1,1,0.6488,0.7829,1,2018,8,3,0.3333,1,1,695,0,0.836,relevant,2
q05-cct-school-attendance-learning,10.1016/j.jdeveco.2019.102392,"Can large, untargeted conditional cash transfers increase urban high school graduation rates? Evidence from Mexico City's Prepa Sí",0.7034,0.6565,0.5666,1,1,1,0.6396,0.7828,1,2020,6,9,1.2857,4,1,1015,3,0.991,relevant,2
q05-cct-school-attendance-learning,10.1086/714010,Dependence or Constraints? Cash Transfers and Labor Supply,0.7755,0.577,0.5809,1,1,1,0.6382,0.7805,0,2021,5,13,2.1667,0,1,975,3,0.962,partial,1
q06-migration-native-wages,10.1016/j.labeco.2011.02.002,Complements or substitutes? Task specialization by gender and nativity in Spain,0.5131,0.5012,0.5592,1,1,1,0.5239,0.5202,0,2011,15,107,6.6875,0,1,1305,0,0.5,relevant,2
q06-migration-native-wages,10.1093/restud/rds019,The Effect of Immigration along the Distribution of Wages,0.6693,0.696,0.6629,1,1,1,0.6759,0.8574,0,2012,14,741,49.4,0,1,1027,0,0.5,relevant,2
q06-migration-native-wages,10.1257/jep.9.2.23,"The Impact of Immigrants on Host Country Wages, Employment and Growth",0.6837,0.6237,0.6469,1,1,1,0.651,0.8506,0,1995,31,1119,34.9688,0,1,637,0,0.5,relevant,2
q06-migration-native-wages,10.1111/padr.12048,"National Academies of Sciences, Engineering, and MedicineThe Economic and Fiscal Consequences of ImmigrationWashington, DC: National Academies Press, 2016. 508 p. $85.00.",0.7122,0.6416,0.6105,1,1,1,0.6534,0.7368,1,2017,9,3,0.3,4,1,20076,0,0.5,partial,1
q06-migration-native-wages,10.1111/joes.12300,THE IMPACT OF IMMIGRATION ON THE LABOR MARKET,0.7168,0.6482,0.6654,1,1,1,0.6762,0.8493,0,2018,8,117,13,0,1,1086,2,0.983,relevant,2
q06-migration-native-wages,10.3368/jhr.50.3.694,Remittances and the Wage Impact of Immigration,0.7089,0.6483,0.6228,1,1,1,0.659,0.8383,0,2015,11,12,1,0,1,786,3,0.99,relevant,2
q06-migration-native-wages,10.1007/bf00173618,Native wage impacts of foreign labor: a random effects panel analysis,0.6628,0.6459,0.6742,1,1,1,0.6609,0.8369,0,1994,32,239,7.2424,0,0,0,3,0.972,relevant,2
q06-migration-native-wages,10.1111/roie.12163,Selective Immigration Policies and Wages Inequality,0.6578,0.661,0.6263,1,1,1,0.6481,0.8363,0,2014,12,33,2.5385,0,1,653,0,0.5,relevant,2
q06-migration-native-wages,10.3368/jhr.xli.2.221,Native Internal Migration and the Labor Market Impact of Immigration,0.7304,0.6241,0.7043,1,1,1,0.6847,0.8343,0,2006,20,444,21.1429,0,1,643,0,0.5,relevant,2
q06-migration-native-wages,10.1257/aer.97.2.383,Differential Impacts of Immigrants on Native Black and White Workers,0.6797,0.6056,0.6976,1,1,1,0.6597,0.8317,0,2007,19,11,0.55,0,0,0,5,1,relevant,2
q06-migration-native-wages,10.1111/j.1542-4774.2011.01052.x,Rethinking the Effect of Immigration on Wages,0.7,0.7107,0.6561,1,1,1,0.6885,0.825,0,2011,15,1312,82,2,1,1427,4,0.994,relevant,2
q06-migration-native-wages,10.1016/j.labeco.2019.101753,Minimum wages and the labor market effects of immigration,0.7002,0.6248,0.6006,1,1,1,0.6405,0.8245,0,2019,7,44,5.5,4,1,809,3,0.975,relevant,2
q06-migration-native-wages,10.1086/298217,The Impact of Immigration on the Human Capital of Natives,0.6945,0.6414,0.6598,1,1,1,0.6649,0.8211,0,1989,37,48,1.2632,0,1,664,0,0.5,relevant,2
q06-migration-native-wages,10.1016/j.labeco.2020.101902,Who competes with whom? Using occupation characteristics to estimate the impact of immigration on native wages,0.6695,0.6311,0.7109,1,1,1,0.6697,0.8177,0,2020,6,10,1.4286,0,1,1162,3,0.975,relevant,2
q06-migration-native-wages,10.1016/j.labeco.2025.102815,Does immigration affect native wages? A meta-analysis,0.6871,0.6969,0.6552,1,1,1,0.6795,0.8158,0,2025,1,2,1,0,1,1002,0,0.5,relevant,2
q06-migration-native-wages,10.1007/s00148-004-0204-3,The effect of immigration on wages in three european countries,0.6347,0.6251,0.529,1,1,1,0.5943,0.8121,0,2005,21,106,4.8182,0,0,0,0,0.5,relevant,2
q06-migration-native-wages,10.1093/oep/gpad011,How does low-skilled immigration affect native wages? Evidence from Employment Permit System in Korea,0.7084,0.5911,0.6749,1,1,1,0.6562,0.8086,0,2023,3,7,1.75,0,1,641,3,0.971,relevant,2
q06-migration-native-wages,10.1093/oxfordjournals.oep.a028579,IMMIGRATION AND THE EARNINGS OF YOUNG NATIVE WORKERS,0.6677,0.595,0.6235,1,1,1,0.628,0.8079,0,1996,30,136,4.3871,0,1,407,0,0.5,relevant,2
