qid,doi,title,facet_sim_0,facet_sim_1,facet_sim_2,facet_sim_0_above_floor,facet_sim_1_above_floor,facet_sim_2_above_floor,facet_sims_geometric_mean,single_vector_sim,geography_hit,geography_stored_lac,geography_stored_none,year,age_years,citation_count,citation_rate,sms_level,has_abstract,abstract_length,abs_rating_numeric,repec_percentile,label,label_int
manual-2026-05-20-ai-labor-lac,10.3386/w34851,Does Generative AI Narrow Education-Based Productivity Gaps? Evidence from a Randomized Experiment,0.3559,0.4711,0.3417,1,1,0,0.4095,0.5751,0,0,1,2026,0,1,1,5,1,1694,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.1016/j.jdeveco.2021.102668,Input quality and skills are complementary and increase output quality: Causal evidence from Ecuador’s trade liberalization,0.314,0.5649,0.379,0,1,1,0.4627,0.567,1,1,0,2021,5,48,8,0,0,0,3,0.991,relevant,2
manual-2026-05-20-ai-labor-lac,10.1086/679061,"STEM Workers, H-1B Visas, and Productivity in US Cities",0.3369,0.5047,0.4165,0,1,1,0.4585,0.4747,0,0,0,2015,11,344,28.6667,2,1,691,4,0.996,relevant,2
manual-2026-05-20-ai-labor-lac,10.1086/701810,The Aggregate Productivity Effects of Internal Migration: Evidence from Indonesia,0.2624,0.5661,0.4475,0,1,1,0.5033,0.5266,0,0,0,2018,8,376,41.7778,3,1,836,5,0.998,partial,1
manual-2026-05-20-ai-labor-lac,10.1086/717933,Machine Labor,0.3913,0.45,0.387,1,1,1,0.4085,0.505,0,0,1,2022,4,50,10,4,1,722,4,0.996,irrelevant,0
manual-2026-05-20-ai-labor-lac,10.1093/jeea/jvaa043,Reevaluating Agricultural Productivity Gaps with Longitudinal Microdata,0.1938,0.484,0.3831,0,1,1,0.4306,0.4542,0,0,0,2020,6,91,13,3,1,1041,4,0.994,partial,1
manual-2026-05-20-ai-labor-lac,10.1093/restud/rdab031,Demographics and Automation,0.474,0.4062,0.3722,1,1,1,0.4154,0.514,0,0,1,2021,5,511,85.1667,2,1,914,5,0.996,partial,1
manual-2026-05-20-ai-labor-lac,10.1257/aer.20110457,"Firm Dynamics, Job Turnover, and Wage Distributions in an Open Economy",0.1339,0.2548,0.1981,0,0,0,0,0.1664,1,1,0,2016,10,180,16.3636,1,1,745,5,1,relevant,2
manual-2026-05-20-ai-labor-lac,10.1257/aer.20131061,Agricultural Productivity and Structural Transformation: Evidence from Brazil,0.2722,0.3764,0.3095,0,1,0,0.3764,0.4562,1,1,0,2016,10,417,37.9091,3,1,676,5,1,relevant,2
manual-2026-05-20-ai-labor-lac,10.18235/0013853,Generative AI in Education: A Framework for Leveraging Digital Tools in Latin American Classrooms,0.3065,0.2364,0.2642,0,0,0,0,0.5258,1,1,0,2025,1,1,0.5,5,1,1119,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.3386/w27360,EMEs and COVID-19: Shutting Down in a World of Informal and Tiny Firms,0.2384,0.3895,0.4351,0,1,1,0.4117,0.4931,0,1,0,2020,6,51,7.2857,0,1,1694,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.3386/w30612,"AI, Skill, and Productivity: The Case of Taxi Drivers",0.4485,0.5153,0.3805,1,1,1,0.4447,0.6195,0,0,1,2022,4,28,5.6,2,1,596,0,0.5,partial,1
manual-2026-05-20-ai-labor-lac,10.3386/w32140,Applying AI to Rebuild Middle Class Jobs,0.3771,0.3745,0.3045,1,1,0,0.3758,0.4879,0,0,1,2024,2,104,34.6667,0,1,1118,0,0.5,partial,1
manual-2026-05-20-ai-labor-lac,10.1016/j.jinteco.2019.01.017,Foreign ownership and skill-biased technological change,0.3282,0.3979,0.3561,0,1,1,0.3764,0.4538,0,0,0,2019,7,33,4.125,4,1,1164,4,0.994,partial,1
manual-2026-05-20-ai-labor-lac,10.1016/j.jpubeco.2017.10.007,The effect of human capital on earnings: Evidence from a reform at Colombia's top university,0.3287,0.5337,0.4279,0,1,1,0.4779,0.5598,1,1,0,2017,9,70,7,0,0,0,3,0.993,relevant,2
manual-2026-05-20-ai-labor-lac,10.1017/s000305542200082x,Symbolic Refugee Protection: Explaining Latin America’s Liberal Refugee Laws,0.1354,0.2161,0.2761,0,0,0,0,0.4281,1,1,0,2022,4,17,3.4,1,1,1337,0,0.953,irrelevant,0
manual-2026-05-20-ai-labor-lac,10.1093/ej/ueab009,Robots and Firms,0.454,0.4725,0.3298,1,1,0,0.4632,0.501,0,0,0,2021,5,391,65.1667,4,1,1570,4,0.994,partial,1
manual-2026-05-20-ai-labor-lac,10.1162/rest_a_00907,Enlisting Employees in Improving Payroll Tax Compliance: Evidence from Mexico,0.2495,0.4114,0.3451,0,1,0,0.4114,0.445,1,1,0,2020,6,65,9.2857,3,1,624,4,0.995,relevant,2
manual-2026-05-20-ai-labor-lac,10.1257/app.20140095,Immigrants Equilibrate Local Labor Markets: Evidence from the Great Recession,0.1795,0.3299,0.4306,0,0,1,0.4306,0.4471,0,1,0,2015,11,252,21,4,1,1091,4,0.997,irrelevant,0
manual-2026-05-20-ai-labor-lac,10.18235/0002011,Dependence or Constraints?: Labor Supply Responses from a Cash Transfer Program,0.1707,0.3588,0.4244,0,1,1,0.3902,0.4777,0,1,0,2019,7,1,0.125,4,1,1088,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.3386/w24871,"Is Automation Labor-Displacing? Productivity Growth, Employment, and the Labor Share",0.466,0.5128,0.503,1,1,1,0.4935,0.5377,0,0,1,2018,8,390,43.3333,1,1,1111,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.3386/w32536,"Automation and Rent Dissipation: Implications for Wages, Inequality, and Productivity",0.3653,0.4562,0.3791,1,1,1,0.3983,0.4835,0,0,1,2024,2,10,3.3333,2,1,971,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.1016/j.jpubeco.2025.105420,The employment effects of a means-tested guaranteed income policy,0.1796,0.4157,0.4369,0,1,1,0.4262,0.4657,0,0,0,2025,1,1,0.5,5,1,1113,3,0.993,relevant,2
manual-2026-05-20-ai-labor-lac,10.1086/713733,The Impact of Temperature on Productivity and Labor Supply: Evidence from Indian Manufacturing,0.2743,0.5946,0.3937,0,1,1,0.4838,0.4755,0,0,0,2021,5,568,94.6667,2,1,639,5,0.998,irrelevant,0
manual-2026-05-20-ai-labor-lac,10.1093/qje/qjad012,AI-tocracy,0.4877,0.3205,0.2563,1,0,0,0.4877,0.4688,0,0,0,2023,3,104,26,2,1,1140,5,0.999,partial,1
manual-2026-05-20-ai-labor-lac,10.1257/aer.20150183,Estimating the Production Function for Human Capital: Results from a Randomized Controlled Trial in Colombia,0.2595,0.4577,0.3356,0,1,0,0.4577,0.4966,1,1,0,2019,7,170,21.25,5,1,649,5,1,relevant,2
manual-2026-05-20-ai-labor-lac,10.1257/jel.20221543,Why Is Productivity Slowing Down?,0.2999,0.5561,0.3633,0,1,1,0.4495,0.491,0,0,0,2024,2,96,32,0,1,980,4,0.999,relevant,2
manual-2026-05-20-ai-labor-lac,10.1257/mac.20160164,"The Rise of the Machines: Automation, Horizontal Innovation, and Income Inequality",0.4234,0.3934,0.3156,1,1,0,0.4081,0.4241,0,0,1,2021,5,216,36,0,1,673,4,0.999,relevant,2
manual-2026-05-20-ai-labor-lac,10.18235/0013579,"Landscape of non-contributory cash transfers in Latin America and the Caribbean, before and after the Covid-19 pandemic",0.1222,0.2205,0.3523,0,0,1,0.3523,0.474,1,1,0,2025,1,2,1,1,1,1726,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.3386/w20935,Premature Deindustrialization,0.2125,0.323,0.3091,0,0,0,0,0.4173,0,0,0,2015,11,692,57.6667,0,1,1135,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.3386/w33795,Shifting Work Patterns with Generative AI,0.3922,0.5082,0.4983,1,1,1,0.4631,0.5915,0,0,1,2025,1,7,3.5,5,1,796,4,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.3982/ecta19815,"Tasks, Automation, and the Rise in U.S. Wage Inequality",0.4115,0.4362,0.4655,1,1,1,0.4372,0.4863,0,0,0,2022,4,493,98.6,0,1,1410,5,1,relevant,2
manual-2026-05-20-ai-labor-lac,10.1016/j.jdeveco.2021.102754,Equality of opportunity and human capital accumulation: Motivational effect of a nationwide scholarship in Colombia,0.17,0.3169,0.365,0,0,1,0.365,0.4242,1,1,0,2021,5,39,6.5,4,1,1250,3,0.991,relevant,2
manual-2026-05-20-ai-labor-lac,10.1162/rest_a_01178,Exports and Wage Premiums: Evidence from Mexican Employer-Employee Data,0.2579,0.4599,0.3674,0,1,1,0.411,0.4551,1,1,0,2022,4,92,18.4,0,1,675,4,0.995,relevant,2
manual-2026-05-20-ai-labor-lac,10.1257/mac.20180386,The Productivity J-Curve: How Intangibles Complement General Purpose Technologies,0.414,0.514,0.3144,1,1,0,0.4613,0.5329,0,0,0,2020,6,525,75,1,1,688,4,0.999,relevant,2
manual-2026-05-20-ai-labor-lac,10.18235/0003993,Do Creative Industries Enhance Employment Growth? Regional Evidence from Colombia (en),0.2449,0.3702,0.3621,0,1,1,0.3661,0.4677,1,1,0,2022,4,2,0.4,4,1,1175,0,0.5,relevant,2
manual-2026-05-20-informality-lac,10.1016/j.jce.2017.11.006,"Informality, public employment and employment protection in developing countries",0.584,0.4383,0.356,1,1,1,0.45,0.6699,0,0,1,2017,9,21,2.1,0,1,1023,3,0.96,relevant,2
manual-2026-05-20-informality-lac,10.1016/j.jdeveco.2015.02.004,The impact of a social program on labor informality: The case of AUH in Argentina,0.5844,0.3696,0.3892,1,1,1,0.4381,0.6493,1,1,0,2015,11,74,6.1667,4,1,737,3,0.991,relevant,2
manual-2026-05-20-informality-lac,10.1016/j.jeconom.2019.05.026,"Labor market search, informality, and on-the-job human capital accumulation",0.6417,0.4362,0.412,1,1,1,0.4868,0.6922,0,1,0,2020,6,43,6.1429,0,1,879,4,0.995,relevant,2
manual-2026-05-20-informality-lac,10.1016/j.jhealeco.2021.102454,The effects of public health insurance in labor markets with informal jobs: Evidence from Mexico.,0.5069,0.352,0.3163,1,1,0,0.4224,0.5875,1,1,0,2021,5,10,1.6667,4,1,784,3,0.981,relevant,2
manual-2026-05-20-informality-lac,10.1016/j.jinteco.2020.103340,"Informality, labor regulation, and the business cycle",0.6197,0.4264,0.3793,1,1,1,0.4645,0.687,0,0,1,2020,6,53,7.5714,0,1,1229,4,0.994,relevant,2
manual-2026-05-20-informality-lac,10.1016/j.jmoneco.2022.12.004,Public financing with financial frictions and underground economy,0.569,0.4027,0.4067,1,1,1,0.4534,0.6557,1,1,0,2022,4,19,3.8,0,1,662,4,0.996,relevant,2
manual-2026-05-20-informality-lac,10.1016/j.worlddev.2020.105256,The effectiveness of interventions to reduce informality in low- and middle-income countries,0.6176,0.5362,0.4919,1,1,1,0.5461,0.7257,0,0,0,2020,6,53,7.5714,2,1,1395,3,0.977,relevant,2
manual-2026-05-20-informality-lac,10.1080/00220388.2022.2061850,Precarization or Protection? The Role of Trade and Labour Policies on Informality,0.608,0.4015,0.3374,1,1,0,0.4941,0.7034,0,1,0,2022,4,8,1.6,3,1,1025,3,0.95,relevant,2
manual-2026-05-20-informality-lac,10.1080/00220388.2022.2061854,Choices and Constraints: The Nature of Informal Employment in Urban Mexico,0.6717,0.3649,0.345,1,1,0,0.4951,0.6809,1,1,0,2022,4,8,1.6,2,1,960,3,0.95,partial,1
manual-2026-05-20-informality-lac,10.1093/oep/gpw010,Informal work in a flexible labour market,0.3379,0.3894,0.4334,0,1,1,0.4108,0.4143,0,0,0,2016,10,31,2.8182,2,1,962,3,0.971,relevant,2
manual-2026-05-20-informality-lac,10.1093/oep/gpx029,Heterogeneous firms and informality: the effects of trade liberalization on labour markets,0.5928,0.3477,0.3184,1,0,0,0.5928,0.6136,0,0,1,2017,9,15,1.5,0,1,526,3,0.971,relevant,2
manual-2026-05-20-informality-lac,10.1093/wber/lhad019,Labor Market and Macroeconomic Dynamics in Latin America amid COVID: The Role of Digital-Adoption Policies,0.4502,0.3617,0.3386,1,1,0,0.4035,0.646,1,1,0,2023,3,4,1,1,1,1254,3,0.983,relevant,2
manual-2026-05-20-informality-lac,10.1111/iere.12118,PENSION DESIGN WITH A LARGE INFORMAL LABOR MARKET: EVIDENCE FROM CHILE,0.5862,0.4264,0.3802,1,1,1,0.4564,0.6857,1,1,0,2015,11,48,4,2,1,671,4,0.5,relevant,2
manual-2026-05-20-informality-lac,10.1111/joes.12487,Theories and definitions of the informal economy: A survey,0.7028,0.4768,0.3713,1,1,1,0.4992,0.6129,0,0,1,2021,5,158,26.3333,1,1,916,2,0.983,partial,1
manual-2026-05-20-informality-lac,10.1111/rode.70079,Labor Informality and Market Segmentation in Senegal,0.6009,0.3185,0.2953,1,0,0,0.6009,0.6084,0,0,0,2025,1,3,1.5,1,1,1133,2,0.918,partial,1
manual-2026-05-20-informality-lac,10.1146/annurev-economics-082119-121914,Informality: Causes and Consequences for Development,0.6184,0.4404,0.4508,1,1,1,0.497,0.7043,0,0,1,2020,6,317,45.2857,0,1,981,3,0.996,relevant,2
manual-2026-05-20-informality-lac,10.1257/aer.20141745,"Firms, Informality, and Development: Theory and Evidence from Brazil",0.6692,0.4387,0.4257,1,1,1,0.5,0.7442,1,1,0,2018,8,518,57.5556,2,1,694,5,1,relevant,2
manual-2026-05-20-informality-lac,10.1257/app.20200763,Increasing the Cost of Informal Employment: Evidence from Mexico,0.6261,0.378,0.4073,1,1,1,0.4585,0.6988,1,1,0,2023,3,14,3.5,4,1,703,4,0.997,relevant,2
manual-2026-05-20-informality-lac,10.18235/0001966,Active Labor Market Policies in a Context of High Informality: The Effect of PAE in Bolivia (en),0.5371,0.4458,0.4893,1,1,1,0.4893,0.6987,1,1,0,2019,7,2,0.25,1,1,665,0,0.5,relevant,2
manual-2026-05-20-informality-lac,10.18235/0004809,Labor Market Regulation and Informality (Discussion Paper) (en),0.6756,0.4373,0.3985,1,1,1,0.4901,0.7485,1,1,0,2023,3,2,0.5,4,1,556,0,0.5,relevant,2
manual-2026-05-20-informality-lac,10.18235/0011813,"Labor Market Search, Informality and Schooling Investments",0.66,0.4937,0.4313,1,1,1,0.5199,0.7343,0,1,0,2018,8,1,0.1111,1,1,1311,0,0.5,relevant,2
manual-2026-05-20-informality-lac,10.18235/0013267,Labor Market Regulation and Informality (en),0.6111,0.365,0.321,1,1,0,0.4723,0.6769,1,1,0,2024,2,4,1.3333,3,1,759,0,0.5,relevant,2
manual-2026-05-20-informality-lac,10.1016/j.jdeveco.2018.04.003,Do lower taxes reduce informality? Evidence from Brazil,0.5406,0.404,0.4194,1,1,1,0.4508,0.7056,1,1,0,2018,8,145,16.1111,3,1,627,3,0.991,relevant,2
manual-2026-05-20-informality-lac,10.1016/j.labeco.2020.101925,Shedding light on the shadows of informality: A meta-analysis of formalization interventions targeted at informal firms,0.5733,0.5044,0.4918,1,1,1,0.522,0.6385,0,0,1,2020,6,74,10.5714,2,1,1230,3,0.975,relevant,2
manual-2026-05-20-informality-lac,10.1016/j.labeco.2024.102581,Economic sanctions and informal employment,0.5741,0.3074,0.3013,1,0,0,0.5741,0.5422,0,0,0,2024,2,7,2.3333,4,1,941,3,0.975,irrelevant,0
manual-2026-05-20-informality-lac,10.1016/j.labeco.2024.102630,The labor market effects of facilitating social security contributions under part-time employment contracts: Evidence from Colombia,0.5582,0.4369,0.4193,1,1,1,0.4676,0.6716,1,1,0,2024,2,1,0.3333,1,1,1460,3,0.975,relevant,2
manual-2026-05-20-informality-lac,10.1016/j.red.2020.10.001,Social Security reform in the presence of informality,0.5573,0.4586,0.3845,1,1,1,0.4615,0.6589,0,0,1,2020,6,35,5,0,1,1954,3,0.989,relevant,2
manual-2026-05-20-informality-lac,10.1016/j.worlddev.2015.11.005,Rethinking Indonesia’s Informal Sector,0.6428,0.4144,0.3708,1,1,1,0.4622,0.6519,0,0,0,2016,10,230,20.9091,1,1,1392,3,0.977,partial,1
manual-2026-05-20-informality-lac,10.1086/688175,"Downward Nominal Wage Rigidity, Currency Pegs, and Involuntary Unemployment",0.2679,0.3125,0.3472,0,0,0,0,0.3066,0,0,1,2016,10,519,47.1818,0,1,717,5,0.998,irrelevant,0
manual-2026-05-20-informality-lac,10.1093/wber/lhab023,Unfolding Trade Effect in Two Margins of Informality. The Peruvian Case,0.614,0.312,0.3252,1,0,0,0.614,0.6763,0,1,0,2021,5,25,4.1667,1,1,945,3,0.983,partial,1
manual-2026-05-20-informality-lac,10.1111/ajps.12576,"Courting Informal Workers: Exclusion, Forbearance, and the Left",0.5749,0.4289,0.3886,1,1,1,0.4576,0.7014,1,1,0,2020,6,20,2.8571,4,1,927,0,0.965,relevant,2
manual-2026-05-20-informality-lac,10.1111/rode.12288,Flexible Labor Regulations and Informality in Egypt,0.649,0.4511,0.4188,1,1,1,0.4968,0.7028,0,0,0,2016,10,56,5.0909,4,1,1288,2,0.918,partial,1
manual-2026-05-20-informality-lac,10.1111/rode.12317,Labor Informality: Choice or Sign of Segmentation? A Quantile Regression Approach at the Regional Level for Colombia,0.6533,0.3658,0.3204,1,1,0,0.4889,0.7072,1,1,0,2017,9,36,3.6,2,1,716,2,0.918,partial,1
manual-2026-05-20-informality-lac,10.1177/0010414016679177,"Disobedient Markets: Street Vendors, Enforcement, and State Intervention in Collective Action",0.583,0.4576,0.4119,1,1,1,0.479,0.6306,0,1,0,2017,9,113,11.3,1,1,893,0,0.5,relevant,2
manual-2026-05-20-informality-lac,10.1177/00197939231205515,Top-Down and Bottom-Up Formalization: Waste Pickers’ Struggles for Labor Rights in São Paulo and Bogotá,0.4228,0.3553,0.2915,1,1,0,0.3876,0.4303,0,1,0,2023,3,9,2.25,1,1,1050,0,0.5,relevant,2
manual-2026-05-20-informality-lac,10.1257/aer.20141096,Export Markets and Labor Allocation in a Low-Income Country,0.5041,0.3468,0.3643,1,0,1,0.4285,0.5568,0,0,0,2018,8,334,37.1111,3,1,930,5,1,partial,1
manual-2026-05-20-informality-lac,10.18235/0005089,The Impact of the One-Stop Shop for Business Registration in the Dominican Republic (en),0.4706,0.3958,0.4004,1,1,1,0.4209,0.5755,1,1,0,2023,3,0,0,2,1,1319,0,0.5,relevant,2
manual-2026-05-20-informality-lac,10.18235/0011712,Experimental Evidence on the Long Term Impacts of a Youth Training Program,0.3371,0.3177,0.3858,0,0,1,0.3858,0.4489,0,1,0,2015,11,74,6.1667,5,1,1114,0,0.5,relevant,2
manual-2026-05-20-informality-lac,10.1002/pam.22457,Should I Care or Should I Work? The Impact of Work on Informal Care,0.4167,0.3531,0.3417,1,1,0,0.3836,0.4398,0,0,0,2022,4,143,28.6,4,1,1362,3,0.5,partial,1
manual-2026-05-20-informality-lac,10.1016/j.worlddev.2022.106095,Child labor among farm households in Mozambique and the role of reciprocal adult labor,0.4573,0.3857,0.3764,1,1,1,0.4049,0.5577,0,0,1,2022,4,5,1,4,1,963,3,0.977,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1002/hec.4557,The lasting consequences of childhood sexual abuse on human capital and economic well‐being,0.4213,0.4887,0.4698,1,1,1,0.459,0.6304,0,0,1,2022,4,27,5.4,3,1,1097,3,0.5,relevant,2
manual-2026-05-20-gender-violence-labor,10.1007/s00148-020-00807-0,Children and labor market outcomes: separating the effects of the first three children,0.3193,0.4324,0.5522,0,1,1,0.4887,0.5905,0,0,1,2020,6,18,2.5714,3,1,1095,3,0.972,partial,1
manual-2026-05-20-gender-violence-labor,10.1007/s13524-019-00790-6,Beyond the Great Recession: Labor Market Polarization and Ongoing Fertility Decline in the United States,0.1769,0.3349,0.4416,0,0,1,0.4416,0.4671,0,0,0,2019,7,190,23.75,2,1,1477,0,0.957,partial,1
manual-2026-05-20-gender-violence-labor,10.1016/j.jebo.2024.04.013,Long-term effects of the Paraguayan War (1864-1870) on intimate partner violence,0.5408,0.4277,0.287,1,1,0,0.481,0.6103,0,0,1,2024,2,5,1.6667,0,0,0,3,0.973,partial,1
manual-2026-05-20-gender-violence-labor,10.1016/j.labeco.2021.101996,Individual labor market effects of local public expenditures on sports,0.2856,0.3326,0.5188,0,0,1,0.5188,0.5605,0,0,0,2021,5,8,1.3333,3,1,1213,3,0.975,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1016/j.worlddev.2019.01.015,"The real exchange rate, structural change, and female labor force participation",0.2699,0.1872,0.3545,0,0,1,0.3545,0.4398,0,0,1,2019,7,34,4.25,1,1,1774,3,0.977,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1016/j.worlddev.2021.105445,"Migration, labor and women’s empowerment: Evidence from an agricultural value chain in Bangladesh",0.3066,0.256,0.4082,0,0,1,0.4082,0.544,0,0,0,2021,5,54,9,2,1,1321,3,0.977,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1017/s0003055423000916,Does Victim Gender Matter for Justice Delivery? Police and Judicial Responses to Women’s Cases in India,0.367,0.4012,0.344,1,1,0,0.3837,0.4597,0,0,0,2023,3,11,2.75,2,1,1374,0,0.953,partial,1
manual-2026-05-20-gender-violence-labor,10.1086/706824,"Durable Ownership, Time Allocation, and Female Labor Force Participation: Evidence from China’s “Home Appliances to the Countryside” Rebate",0.3088,0.3494,0.4418,0,0,1,0.4418,0.5068,0,0,0,2019,7,28,3.5,4,1,829,3,0.962,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1086/734092,Labor Market Returns to Personality: A Job Search Approach to Understanding Gender Gaps,0.2004,0.3469,0.415,0,0,1,0.415,0.3929,0,0,0,2024,2,16,5.3333,3,1,670,5,0.998,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1093/ej/ueag043,Balancing Work and Care: How Workplace Factors Can Mitigate the Gendered Impacts of Caregiving,0.2328,0.3501,0.5014,0,1,1,0.419,0.5428,0,0,0,2026,0,0,0,4,1,772,4,0.994,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1111/iere.12531,THE ROLE OF GENDER IN EMPLOYMENT POLARIZATION,0.2786,0.2668,0.4938,0,0,1,0.4938,0.5238,0,0,1,2021,5,33,5.5,0,1,883,4,0.5,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1162/rest_a_00965,Violence While in Utero: The Impact of Assaults during Pregnancy on Birth Outcomes,0.5014,0.4504,0.3656,1,1,1,0.4354,0.5889,0,0,0,2020,6,66,9.4286,4,1,687,4,0.995,partial,1
manual-2026-05-20-gender-violence-labor,10.1177/00197939211056914,"Public-Sector Unions as Equalizing Institutions: Race, Gender, and Earnings",0.2633,0.222,0.4088,0,0,1,0.4088,0.4406,0,0,1,2021,5,33,5.5,1,1,1073,0,0.5,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1177/00197939251361359,Long-Run Career Outcomes of Multiple Job Holding,0.2001,0.4381,0.6143,0,1,1,0.5188,0.5158,0,0,0,2025,1,0,0,4,1,873,0,0.5,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1215/00703370-9606030,Structural Heteropatriarchy and Birth Outcomes in the United States,0.4335,0.4006,0.3896,1,1,1,0.4075,0.5177,0,0,0,2021,5,54,9,2,1,1446,0,0.957,partial,1
manual-2026-05-20-gender-violence-labor,10.1257/app.20180010,Children and Gender Inequality: Evidence from Denmark,0.3607,0.3363,0.4511,1,0,1,0.4033,0.5686,0,0,0,2019,7,945,118.125,2,1,704,4,0.997,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1257/jel.20160995,"The Gender Wage Gap: Extent, Trends, and Explanations",0.354,0.3318,0.508,1,0,1,0.4241,0.5882,0,0,1,2017,9,2849,284.9,3,1,1654,4,0.999,irrelevant,0
