qid,doi,title,facet_sim_0,facet_sim_1,facet_sim_2,facet_sim_0_above_floor,facet_sim_1_above_floor,facet_sim_2_above_floor,facet_sims_geometric_mean,single_vector_sim,geography_hit,geography_stored_lac,geography_stored_none,year,age_years,citation_count,citation_rate,sms_level,has_abstract,abstract_length,abs_rating_numeric,repec_percentile,label,label_int
q01-teacher-incentives-hard-staff,10.1086/706059,Do Educator Performance Incentives Help Students? Evidence from the Teacher Incentive Fund National Evaluation,0.7737,0.573,0.6839,1,1,1,0.6718,0.7413,0,0,1,2019,7,14,1.75,5,1,697,4,0.996,partial,1
q01-teacher-incentives-hard-staff,10.3386/w30714,"Preferences, Inequities, and Incentives in the Substitute Teacher Labor Market",0.7605,0.6476,0.6675,1,1,1,0.6902,0.7399,0,0,0,2022,4,3,0.6,4,1,719,0,0.5,partial,1
q01-teacher-incentives-hard-staff,10.3386/w34151,Information Frictions and the Labor Market for Public School Teachers,0.7266,0.6455,0.6827,1,1,1,0.6842,0.7381,0,0,0,2025,1,0,0,2,1,1225,0,0.5,partial,1
q01-teacher-incentives-hard-staff,10.1086/667757,Teacher Incentives and Student Achievement: Evidence from New York City Public Schools,0.767,0.6093,0.6884,1,1,1,0.6852,0.7367,0,0,1,2013,13,235,16.7857,5,1,698,4,0.996,partial,1
q01-teacher-incentives-hard-staff,10.1257/aer.101.5.1739,"Peer Effects, Teacher Incentives, and the Impact of Tracking: Evidence from a Randomized Evaluation in Kenya",0.6792,0.6041,0.6763,1,1,1,0.6523,0.7058,0,0,0,2011,15,1075,67.1875,5,1,699,5,1,partial,1
q01-teacher-incentives-hard-staff,10.3386/w16850,Teacher Incentives and Student Achievement: Evidence from New York City Public Schools,0.7695,0.6118,0.697,1,1,1,0.6897,0.7321,0,0,1,2011,15,10,0.625,5,1,695,0,0.5,partial,1
q02-gender-violence-labor,10.1080/00220388.2023.2286890,Shifting the Balance: Examining the Impact of Local Labor Market Opportunities on Female Household Bargaining Power in India,0.6699,0.6672,0,1,1,0,0.6685,0.716,0,0,0,2023,3,4,1,2,1,934,3,0.95,relevant,2
q02-gender-violence-labor,10.2139/ssrn.3273713,Violence and Female Labor Supply,0.68,0.5868,0,1,1,0,0.6317,0.7217,0,0,1,2018,8,1,0.1111,2,1,1190,0,0.5,relevant,2
q02-gender-violence-labor,10.1257/aer.103.3.274,Sexual Violence against Women and Labor Market Outcomes,0.6815,0.694,0,1,1,0,0.6877,0.7753,0,0,1,2013,13,48,3.4286,2,1,657,5,1,relevant,2
q02-gender-violence-labor,10.1080/00220388.2025.2521490,"Culture, Kinship and Women’s Labour Opportunities: Evidence from Malawi and Indonesia*",0.6142,0.6577,0,1,1,0,0.6356,0.6742,0,0,0,2025,1,0,0,1,1,1193,3,0.95,irrelevant,0
q02-gender-violence-labor,10.1093/qje/qjad045,Violence against Women at Work,0.734,0.6129,0,1,1,0,0.6707,0.772,0,0,0,2023,3,54,13.5,2,1,1196,5,0.999,relevant,2
q02-gender-violence-labor,10.3386/w34886,Shielding Women from Violence: The Effects of Violence Prevention and Monitoring Centers on Intimate Partner Violence in Türkiye,0.7043,0.5546,0,1,1,0,0.625,0.6722,0,0,0,2026,0,0,0,1,1,1580,0,0.5,irrelevant,0
q02-gender-violence-labor,10.2139/ssrn.6504456,Shielding Women from Violence: The Effects of Violence Prevention and Monitoring Centers on Intimate Partner Violence in Türkiye,0.714,0.5377,0,1,1,0,0.6197,0.6355,0,0,0,2026,0,0,0,4,1,1615,0,0.5,irrelevant,0
q02-gender-violence-labor,10.1016/j.jdeveco.2026.103718,Labor market consequences of homicides: A gender perspective from Mexico,0.6599,0.6835,0,1,1,0,0.6716,0.7719,1,1,0,2026,0,0,0,3,1,1299,3,0.991,relevant,2
q02-gender-violence-labor,10.1016/j.worlddev.2022.106166,The impact of intimate partner violence on women’s labour market outcomes,0.7125,0.6832,0,1,1,0,0.6977,0.7698,0,0,1,2022,4,21,4.2,4,1,733,3,0.977,relevant,2
q02-gender-violence-labor,10.2139/ssrn.6290399,Shielding Women from Violence: The Effects of Violence Prevention and Monitoring Centers on Intimate Partner Violence in Türkiye,0.714,0.5377,0,1,1,0,0.6197,0.6355,0,0,0,2026,0,0,0,4,1,1894,0,0.5,irrelevant,0
q02-gender-violence-labor,10.3368/jhr.0421-11603r4,Does the Gender Wage Gap Influence Intimate Partner Violence in Brazil?,0.7389,0.6393,0,1,1,0,0.6873,0.7662,1,1,0,2023,3,7,1.75,3,1,831,3,0.99,partial,1
q02-gender-violence-labor,10.3386/w18994,Caution! Men Not at Work: Gender-Specific Labor Market Conditions and Child Maltreatment,0.6627,0.6556,0,1,1,0,0.6591,0.7403,0,0,0,2013,13,27,1.9286,1,1,726,0,0.5,partial,1
q02-gender-violence-labor,10.1016/j.worlddev.2019.104732,The impact of workplace harassment and domestic violence on work outcomes in the developing world,0.7278,0.6485,0,1,1,0,0.687,0.7359,0,1,0,2019,7,58,7.25,1,1,1905,3,0.977,relevant,2
q02-gender-violence-labor,10.1596/0-8213-2958-8,Indigenous People and Poverty in Latin America: An Empirical Analysis. World Bank Regional and Sectoral Studies.,0.5129,0.5579,0,1,1,0,0.5349,0.5065,1,1,0,1994,32,284,8.6061,2,1,13281,0,0.5,irrelevant,0
q02-gender-violence-labor,10.1016/j.jebo.2025.107130,From bargaining to balance: How unions shape gender wage outcomes,0.57,0.6316,0,1,1,0,0.6,0.7097,0,0,0,2025,1,1,0.5,4,1,805,3,0.973,partial,1
q02-gender-violence-labor,10.1080/00220388.2022.2069491,Public Work and Private Violence,0.7468,0.5754,0,1,1,0,0.6555,0.7338,0,0,0,2022,4,5,1,2,1,462,3,0.95,partial,1
q02-gender-violence-labor,10.1093/wber/lhz030,Intimate Partner Violence: The Influence of Job Opportunities for Men and Women,0.7453,0.6449,0,1,1,0,0.6933,0.7303,0,0,1,2019,7,109,13.625,2,1,917,3,0.983,partial,1
q03-digital-health-edu-labor,10.9745/ghsp-d-18-00167,Digital Technologies for Health Workforce Development in Low- and Middle-Income Countries: A Scoping Review,0.783,0.5186,0.5961,1,1,1,0.6232,0.7812,0,0,1,2018,8,103,11.4444,1,1,2586,0,0.5,irrelevant,0
q03-digital-health-edu-labor,10.1093/oodh/oqae033,Strengthening the evidence base on the use of digital health technologies to accelerate progress towards universal health coverage,0.7809,0.5051,0.539,1,1,1,0.5968,0.7698,0,0,1,2024,2,7,2.3333,0,1,964,0,0.5,irrelevant,0
q03-digital-health-edu-labor,10.1093/pubmed/fdy171,"Digital health, gender and health equity: invisible imperatives",0.7688,0.5256,0.5502,1,1,1,0.6058,0.7685,0,1,0,2018,8,34,3.7778,1,1,1393,0,0.5,irrelevant,0
q03-digital-health-edu-labor,10.1787/2ce05eb6-en,Digital and innovative tools for better health and productivity at the workplace,0.7755,0.5022,0.6202,1,1,1,0.6228,0.7628,0,0,1,2024,2,2,0.6667,0,1,1192,0,0.5,partial,1
q03-digital-health-edu-labor,10.1111/roiw.70033,Does Adult Digital Learning Pay Off? The Impact on Labor Market Returns,0.5698,0.6041,0.6506,1,1,1,0.6073,0.7604,0,0,1,2025,1,3,1.5,0,1,707,3,0.944,relevant,2
q03-digital-health-edu-labor,10.2196/48685,"Digital Health Literacy of the Population in Germany and Its Association With Physical Health, Mental Health, Life Satisfaction, and Health Behaviors: Nationally Representative Survey Study",0.7343,0.5395,0.478,1,1,1,0.5742,0.7557,0,0,0,2024,2,43,14.3333,1,1,267,0,0.5,partial,1
q03-digital-health-edu-labor,10.1038/s41598-024-57788-3,New evidence on the real role of digital economy in influencing public health efficiency,0.7155,0.4655,0.5374,1,1,1,0.5635,0.7551,0,0,1,2024,2,23,7.6667,1,1,1536,0,0.5,partial,1
q03-digital-health-edu-labor,10.1177/14614448211043189,The outcomes of gaining digital skills for young people’s lives and wellbeing: A systematic evidence review,0.6431,0.626,0.596,1,1,1,0.6214,0.7524,0,0,1,2021,5,217,36.1667,2,1,1064,0,0.5,relevant,2
q03-digital-health-edu-labor,10.3386/w32992,Equity and Efficiency in Technology Adoption: Evidence from Digital Health,0.7295,0.525,0.5412,1,1,1,0.5918,0.7523,0,0,0,2024,2,2,0.6667,2,1,1749,0,0.5,relevant,2
q03-digital-health-edu-labor,10.61093/hem.2024.4-06,The Role of Digital Economy in Transformation of Public Health: Modeling and Analysis,0.756,0.5474,0.5573,1,1,1,0.6133,0.7512,0,0,0,2024,2,6,2,2,1,2171,0,0.5,irrelevant,0
q03-digital-health-edu-labor,10.37287/ijghr.v7i2.5869,Digital Support Education on Risky Adolescent Reproductive Health Behaviors: A Systematic Review,0.7329,0.6128,0.4998,1,1,1,0.6077,0.7455,0,0,1,2025,1,1,0.5,5,1,1576,0,0.5,relevant,2
q03-digital-health-edu-labor,10.1016/j.techsoc.2023.102210,"Digitalization, income inequality, and public health: Evidence from developing countries",0.6832,0.5366,0.5943,1,1,1,0.6017,0.7433,0,0,0,2023,3,32,8,2,1,1050,0,0.5,relevant,2
q04-minwage-informality-lac,10.1080/00220388.2024.2312833,Does the Minimum Wage Affect Wage Inequality? A Study for the Six Largest Latin American Economies,0.7206,0.594,0.5605,1,1,1,0.6214,0.748,1,1,0,2024,2,4,1.3333,3,1,779,3,0.95,partial,1
q04-minwage-informality-lac,10.5089/9781484393840.001,Impacts of Labor Market Institutions and Demographic Factors on Labor Markets in Latin America,0.6424,0.6675,0.5907,1,1,1,0.6327,0.7162,1,1,0,2019,7,4,0.5,2,1,1494,0,0.5,partial,1
q04-minwage-informality-lac,10.1111/rode.12326,Assessing the distributive effects of minimum wage,0.6508,0.5597,0.4775,1,1,1,0.5582,0.7326,1,1,0,2017,9,12,1.2,1,1,522,2,0.918,partial,1
q04-minwage-informality-lac,10.1086/209878,The Impact of Minimum Wages in Mexico and Colombia,0.6006,0.5233,0.4842,1,1,1,0.5339,0.6566,1,1,0,1997,29,35,1.1667,3,1,574,4,0.996,partial,1
q04-minwage-informality-lac,10.1177/0019793915575703,The Consequences of Increased Enforcement of Legal Minimum Wages in a Developing Country,0.6717,0.5916,0.5426,1,1,1,0.5996,0.7237,0,1,0,2015,11,66,5.5,4,1,1835,0,0.5,partial,1
q04-minwage-informality-lac,10.1080/00220388.2022.2130056,The Effect of the Minimum Wage on Poverty: Evidence from a Quasi-Experiment in Mexico,0.6941,0.5788,0.5597,1,1,1,0.6081,0.7288,1,1,0,2022,4,20,4,4,1,933,3,0.95,partial,1
q04-minwage-informality-lac,10.1002/jae.2586,Estimating the effects of the minimum wage in a developing country: A density discontinuity design approach,0.6727,0.6209,0.556,1,1,1,0.6147,0.7431,0,1,0,2017,9,46,4.6,2,1,879,3,0.5,relevant,2
q04-minwage-informality-lac,10.1080/00220380701259947,Minimum wage effects across the private and public sectors in Brazil,0.6551,0.5726,0.5069,1,1,1,0.575,0.7255,1,1,0,2007,19,51,2.55,4,1,678,3,0.95,partial,1
q04-minwage-informality-lac,10.1086/714114,Does an Increasing Minimum Wage Reduce Formal Sector Employment? Evidence from Brazil,0.7501,0.6241,0.531,1,1,1,0.6288,0.76,1,1,0,2021,5,19,3.1667,3,1,1027,3,0.962,relevant,2
q04-minwage-informality-lac,10.1016/j.labeco.2008.07.003,Minimum wage effects in a developing country,0.6941,0.5373,0.4662,1,1,1,0.5581,0.7289,1,0,1,2008,18,240,12.6316,4,1,1026,3,0.975,partial,1
q04-minwage-informality-lac,10.1016/j.worlddev.2020.105182,Can the minimum wage reduce poverty and inequality in the developing world? Evidence from Brazil,0.7322,0.5494,0.5174,1,1,1,0.5926,0.7059,1,1,0,2021,5,44,7.3333,4,1,1438,3,0.977,partial,1
q04-minwage-informality-lac,10.1080/00220388.2020.1841170,Regional Labour Informality in Colombia and a Proposal for a Differential Minimum Wage,0.6204,0.6794,0.5164,1,1,1,0.6016,0.7208,1,1,0,2020,6,28,4,3,1,1054,3,0.95,relevant,2
q04-minwage-informality-lac,10.1596/1813-9450-4888,Informality in Latin America and the Caribbean,0.4878,0.6746,0.6084,1,1,1,0.585,0.693,1,1,0,2009,17,136,7.5556,2,1,1003,0,0.5,partial,1
q04-minwage-informality-lac,10.18235/0012394,"Andemic Informality: Assessing Labor Informality, Employment and Income Risk in the Andes",0.5465,0.7627,0.5807,1,1,1,0.6232,0.7211,1,0,0,2013,13,9,0.6429,3,1,416,0,0.5,partial,1
q04-minwage-informality-lac,10.1016/j.worlddev.2005.04.017,The effect of minimum wages on actual wages in formal and informal sectors in Costa Rica,0.6481,0.6244,0.4594,1,1,1,0.5707,0.7225,1,1,0,2005,21,102,4.6364,0,0,0,3,0.977,relevant,2
q05-cct-school-attendance-learning,10.1007/s11524-024-00838-y,"Cash Transfers and After-School Programs: A Randomized Controlled Trial for Young Men at Risk of Violence Exposure in Wilmington, Delaware",0.8051,0.5942,0.5904,1,1,1,0.6561,0.8164,0,0,0,2024,2,2,0.6667,5,1,1388,0,0.5,partial,1
q05-cct-school-attendance-learning,10.1596/1813-9450-9989,Cash Transfers after Ebola in Guinea: Lessons Learned on Human Capital,0.6894,0.5703,0.5498,1,1,1,0.6002,0.7054,0,0,0,2022,4,2,0.4,5,1,1813,0,0.5,relevant,2
q05-cct-school-attendance-learning,10.1016/j.jdeveco.2010.05.006,Does more cash in conditional cash transfer programs always lead to larger impacts on school attendance?,0.7443,0.6725,0.5836,1,1,1,0.6635,0.8051,0,0,0,2010,16,138,8.1176,4,1,743,3,0.991,relevant,2
q05-cct-school-attendance-learning,10.18235/0011174,Demand and Supply-Side Determinants of Conditional Cash Transfer Program Effectiveness: Improving the First-Generation Programs,0.7617,0.6051,0.5871,1,1,1,0.6468,0.7381,0,1,0,2005,21,9,0.4091,3,1,1261,0,0.5,relevant,2
q05-cct-school-attendance-learning,10.1016/j.lana.2024.100803,Joining forces for healthier futures: a call to action for South American child health policies,0.5765,0.5965,0.6234,1,1,1,0.5985,0.548,0,1,0,2024,2,2,0.6667,0,1,7252,0,0.5,irrelevant,0
q05-cct-school-attendance-learning,10.7916/d81c287b,"Essays on Human Capital, Labor and Development Economics",0.4329,0.4254,0.3713,0,0,0,0,0.3585,0,1,0,2017,9,0,0,0,1,7587,0,0.5,partial,1
q05-cct-school-attendance-learning,10.1016/j.econedurev.2023.102406,Does more schooling imply improved learning? Evidence from the Kanyashree Prakalpa in India,0.6871,0.6666,0.6709,1,1,1,0.6748,0.7937,0,0,0,2023,3,8,2,4,1,1107,2,0.95,relevant,2
q05-cct-school-attendance-learning,10.4314/gjss.v19i1.3,Relationship between cash transfer programmes and school outcomes in Africa and Latin America: A systematic review,0.7911,0.6288,0.6435,1,1,1,0.6841,0.792,1,1,0,2020,6,6,0.8571,1,1,1123,0,0.5,relevant,2
q05-cct-school-attendance-learning,10.1016/j.econedurev.2022.102332,The educational impacts of cash transfers in Tanzania,0.7001,0.514,0.5923,1,1,1,0.5974,0.789,0,0,0,2023,3,15,3.75,5,1,869,2,0.95,relevant,2
q05-cct-school-attendance-learning,10.1086/733427,Can Conditional Cash Transfers Alter the Effectiveness of Other Human Capital Development Policies?,0.7821,0.6373,0.6483,1,1,1,0.6862,0.7872,1,1,0,2024,2,1,0.3333,4,1,1005,3,0.962,relevant,2
q05-cct-school-attendance-learning,10.1016/j.econedurev.2017.06.002,Short-term impacts of an unconditional cash transfer program on child schooling: Experimental evidence from Malawi,0.7322,0.532,0.537,1,1,1,0.5936,0.7873,0,0,1,2017,9,54,5.4,5,1,250,2,0.95,relevant,2
q05-cct-school-attendance-learning,10.18235/0011660,The Effect of Cash Transfers to Schools on Voluntary Contributions,0.7075,0.6567,0.6451,1,1,1,0.6692,0.7581,0,0,1,2014,12,0,0,4,1,1016,0,0.5,partial,1
q05-cct-school-attendance-learning,10.18235/0012881,Can Conditional Cash Transfers Alter the Effectiveness of Other Human Capital Development Policies?,0.704,0.7174,0.68,1,1,1,0.7003,0.7326,0,0,1,2024,2,1,0.3333,4,1,941,0,0.5,relevant,2
q06-migration-native-wages,10.1016/j.labeco.2011.02.002,Complements or substitutes? Task specialization by gender and nativity in Spain,0.5039,0.5378,0.5158,1,1,1,0.519,0.5204,0,0,0,2011,15,107,6.6875,1,1,1305,3,0.975,relevant,2
q06-migration-native-wages,10.1093/restud/rds019,The Effect of Immigration along the Distribution of Wages,0.6434,0.7453,0.5775,1,1,1,0.6518,0.8573,0,0,1,2012,14,741,49.4,3,1,1027,5,0.996,relevant,2
q06-migration-native-wages,10.1257/jep.9.2.23,"The Impact of Immigrants on Host Country Wages, Employment and Growth",0.6474,0.6576,0.6122,1,1,1,0.6388,0.8506,0,0,0,1995,31,1119,34.9688,2,1,637,4,0.998,relevant,2
q06-migration-native-wages,10.1111/padr.12048,"National Academies of Sciences, Engineering, and MedicineThe Economic and Fiscal Consequences of ImmigrationWashington, DC: National Academies Press, 2016. 508 p. $85.00.",0.7022,0.601,0.6292,1,1,1,0.6428,0.7369,0,1,0,2017,9,3,0.3,0,1,20076,0,0.5,partial,1
q06-migration-native-wages,10.1111/joes.12300,THE IMPACT OF IMMIGRATION ON THE LABOR MARKET,0.6981,0.6729,0.596,1,1,1,0.6542,0.8492,0,0,1,2018,8,117,13,0,1,1086,2,0.983,relevant,2
q06-migration-native-wages,10.3368/jhr.50.3.694,Remittances and the Wage Impact of Immigration,0.6815,0.6683,0.6383,1,1,1,0.6624,0.8383,0,0,0,2015,11,12,1,4,1,786,3,0.99,relevant,2
q06-migration-native-wages,10.1007/bf00173618,Native wage impacts of foreign labor: a random effects panel analysis,0.5828,0.7139,0.5495,1,1,1,0.6115,0.837,0,0,1,1994,32,239,7.2424,3,1,648,3,0.972,relevant,2
q06-migration-native-wages,10.1111/roie.12163,Selective Immigration Policies and Wages Inequality,0.6448,0.7065,0.5954,1,1,1,0.6473,0.8363,0,0,0,2014,12,33,2.5385,3,1,653,2,0.949,relevant,2
q06-migration-native-wages,10.3368/jhr.xli.2.221,Native Internal Migration and the Labor Market Impact of Immigration,0.7227,0.6796,0.6189,1,1,1,0.6724,0.8343,0,0,0,2006,20,444,21.1429,2,1,643,3,0.99,relevant,2
q06-migration-native-wages,10.1257/aer.97.2.383,Differential Impacts of Immigrants on Native Black and White Workers,0.624,0.6711,0.5396,1,1,1,0.6091,0.8317,0,0,1,2007,19,11,0.55,0,0,0,5,1,relevant,2
q06-migration-native-wages,10.1111/j.1542-4774.2011.01052.x,Rethinking the Effect of Immigration on Wages,0.6684,0.7201,0.598,1,1,1,0.6603,0.825,0,0,1,2011,15,1312,82,2,1,1427,4,0.994,relevant,2
q06-migration-native-wages,10.1016/j.labeco.2019.101753,Minimum wages and the labor market effects of immigration,0.6781,0.6542,0.5761,1,1,1,0.6346,0.8245,0,0,0,2019,7,44,5.5,4,1,809,3,0.975,relevant,2
q06-migration-native-wages,10.1086/298217,The Impact of Immigration on the Human Capital of Natives,0.6714,0.6559,0.6156,1,1,1,0.6472,0.8211,0,0,1,1989,37,48,1.2632,0,1,664,4,0.996,relevant,2
q06-migration-native-wages,10.1016/j.labeco.2020.101902,Who competes with whom? Using occupation characteristics to estimate the impact of immigration on native wages,0.6421,0.7217,0.589,1,1,1,0.6487,0.8177,0,0,1,2020,6,10,1.4286,2,1,1162,3,0.975,relevant,2
q06-migration-native-wages,10.1016/j.labeco.2025.102815,Does immigration affect native wages? A meta-analysis,0.6646,0.6934,0.6164,1,1,1,0.6574,0.8158,0,0,1,2025,1,3,1.5,1,1,1002,3,0.975,relevant,2
q06-migration-native-wages,10.1007/s00148-004-0204-3,The effect of immigration on wages in three european countries,0.6201,0.6008,0.5998,1,1,1,0.6068,0.812,0,0,0,2005,21,106,4.8182,2,1,366,3,0.972,relevant,2
q06-migration-native-wages,10.1093/oep/gpad011,How does low-skilled immigration affect native wages? Evidence from Employment Permit System in Korea,0.6513,0.6823,0.5943,1,1,1,0.6416,0.8085,0,0,0,2023,3,7,1.75,1,1,641,3,0.971,relevant,2
q06-migration-native-wages,10.1093/oxfordjournals.oep.a028579,IMMIGRATION AND THE EARNINGS OF YOUNG NATIVE WORKERS,0.6243,0.6694,0.5828,1,1,1,0.6245,0.8078,0,0,0,1996,30,136,4.3871,2,1,407,3,0.971,relevant,2
q06-migration-native-wages,10.1086/374961,The Effect of Immigration on Native Self‐Employment,0.6536,0.6571,0.5982,1,1,1,0.6357,0.8074,0,0,0,2003,23,113,4.7083,0,1,701,4,0.996,partial,1
q06-migration-native-wages,10.1016/j.labeco.2006.09.006,Does immigration affect wages? A look at occupation-level evidence,0.6146,0.6621,0.5156,1,1,1,0.5942,0.8038,0,0,1,2006,20,191,9.0952,0,0,0,3,0.975,relevant,2
q07-childcare-female-labor-participation,10.1111/ecin.12740,EASING THE CONSTRAINTS OF MOTHERHOOD: THE EFFECTS OF ALL‐DAY SCHOOLS ON MOTHERS' LABOR SUPPLY,0.5292,0.6588,0.6004,1,1,1,0.5938,0.761,0,0,1,2018,8,38,4.2222,4,1,870,3,0.967,relevant,2
q07-childcare-female-labor-participation,10.1596/29395,Preschool Availability and Female Labor Force Participation: Evidence from Indonesia,0.6266,0.6365,0.6183,1,1,1,0.6271,0.7557,0,0,0,2019,7,0,0,4,1,1129,0,0.5,relevant,2
q07-childcare-female-labor-participation,10.3386/w31916,The Outlook for Women's Employment and Labor Force Participation,0.7016,0.5772,0.7035,1,1,1,0.658,0.7305,0,0,0,2023,3,1,0.25,1,1,934,0,0.5,partial,1
q07-childcare-female-labor-participation,10.18235/0009205,Childcare and Women's Labor Participation: Evidence for Latin America and the Caribbean,0.5599,0.7404,0.6607,1,1,1,0.6494,0.8022,1,1,0,2013,13,31,2.2143,5,1,1006,0,0.5,relevant,2
q07-childcare-female-labor-participation,10.3386/w33835,The Effect of Childcare Access on Women's Careers and Firm Performance,0.584,0.6895,0.6443,1,1,1,0.6378,0.7973,0,0,0,2025,1,1,0.5,2,1,681,0,0.5,relevant,2
q07-childcare-female-labor-participation,10.1016/j.labeco.2015.07.003,Does the cost of child care affect female labor market participation? An evaluation of a French reform of childcare subsidies,0.5684,0.613,0.5868,1,1,1,0.5891,0.772,0,0,0,2015,11,134,11.1667,0,0,0,3,0.975,relevant,2
q07-childcare-female-labor-participation,10.1093/wber/lhae004,Public Child Care Provision: Unraveling the Consequences of Implementation Variations for Women's Time Allocation,0.585,0.7197,0.6263,1,1,1,0.6413,0.7715,1,1,0,2024,2,1,0.3333,3,1,1050,3,0.983,relevant,2
q07-childcare-female-labor-participation,10.1111/j.1468-232x.1977.tb00102.x,Changing Patterns of Female Labor Force Participation,0.6942,0.4391,0.7574,1,0,1,0.7251,0.7688,0,0,1,1977,49,3,0.06,0,0,0,0,0.924,partial,1
q07-childcare-female-labor-participation,10.1016/j.labeco.2021.102100,Does more free childcare help parents work more?,0.5712,0.7231,0.5533,1,1,1,0.6114,0.7673,0,0,0,2021,5,37,6.1667,4,1,974,3,0.975,relevant,2
q07-childcare-female-labor-participation,10.1257/app.20230227,"Childcare, Labor Supply, and Business Development: Experimental Evidence from Uganda",0.5813,0.7169,0.6233,1,1,1,0.638,0.7664,0,0,0,2025,1,13,6.5,5,1,731,4,0.997,relevant,2
q07-childcare-female-labor-participation,10.18235/0001449,"Female Labor Force Participation, Labor Market Dynamic and Growth in LAC",0.7304,0.5579,0.6948,1,1,1,0.6566,0.7659,1,1,0,2019,7,15,1.875,0,1,1195,0,0.5,partial,1
q07-childcare-female-labor-participation,10.3386/w34831,"More Hours, More Work: Head Start Expansions Boost Maternal Employment",0.5911,0.696,0.621,1,1,1,0.6346,0.7624,0,0,1,2026,0,0,0,4,1,776,0,0.5,relevant,2
q07-childcare-female-labor-participation,10.1596/1813-9450-9828,Childcare and Mothers' Labor Market Outcomes in Lower- and Middle-Income Countries,0.6125,0.6967,0.6458,1,1,1,0.6507,0.7526,0,0,0,2021,5,45,7.5,0,1,958,0,0.5,relevant,2
q08-land-titling-investment,10.1016/j.jdeveco.2023.103238,"Property rights, factor allocation and household welfare: Experimental evidence from a land titling program in India",0.6077,0.7819,0.6137,1,1,1,0.6631,0.8407,0,0,0,2023,3,15,3.75,5,1,678,3,0.991,relevant,2
